id,type,title,question,category_path,source_url,decision_kind,decision_year,decision_no,content_hash
diyk_qa_0193c42d-907b-7472-14a6-e6b932214cae_85c0583346,qa,Boşanan kadının mali hakları nelerdir?,Boşanan kadının mali hakları nelerdir?,AİLE HAYATI > Nafaka ve Tazminat > Boşanan kadının mali hakları nelerdir?,https://kurul.diyanet.gov.tr/soru/bosanan-kadinin-mali-haklari-nelerdir/0193c42d-907b-7472-14a6-e6b932214cae,,,,sha256:433a6c0334e195ae66e26e1ffc3b4e878a8fba6fcdd8db15d2db53c5bf6c2a29
diyk_qa_0193c42d-908e-79cc-db68-998086f31fee_430099fe4f,qa,Kadın şahsi ihtiyacını karşılamak için kocasının parasını rızası olmadan alabilir mi?,Kadın şahsi ihtiyacını karşılamak için kocasının parasını rızası olmadan alabilir mi?,HAKLAR VE SORUMLULUKLAR > Aile İçi Haklar ve Sorumluluklar > Kadın şahsi ihtiyacını karşılamak için kocasının parasını rızası olmadan alabilir mi?,https://kurul.diyanet.gov.tr/soru/kadin-sahsi-ihtiyacini-karsilamak-icin-kocasinin-parasini-rizasi-olmadan-alabilir-mi/0193c42d-908e-79cc-db68-998086f31fee,,,,sha256:ce452527a1208935c6f0c928740d189ce08d62777e20c0f90f1bce25a933c491
diyk_qa_0193c42d-90a7-757e-945b-6a504f10b3f9_27eb921383,qa,Boşanma davası uzun süre sonuçlanmayan kadının aldığı nafaka helal midir?,Boşanma davası uzun süre sonuçlanmayan kadının aldığı nafaka helal midir?,AİLE HAYATI > Nafaka ve Tazminat > Boşanma davası uzun süre sonuçlanmayan kadının aldığı nafaka helal midir?,https://kurul.diyanet.gov.tr/soru/bosanma-davasi-uzun-sure-sonuclanmayan-kadinin-aldigi-nafaka-helal-midir/0193c42d-90a7-757e-945b-6a504f10b3f9,,,,sha256:91c61a45de534e3e4e8fdb89836b14c3b51e1c3083b46a5194e16bfc3fbb5402
diyk_qa_0193c42d-90be-76e6-077f-59c1221fd49e_d07de12b98,qa,Boşanmadan sonra çocukların bakım hakkı kime aittir?,Boşanmadan sonra çocukların bakım hakkı kime aittir?,AİLE HAYATI > Nafaka ve Tazminat > Boşanmadan sonra çocukların bakım hakkı kime aittir?,https://kurul.diyanet.gov.tr/soru/bosanmadan-sonra-cocuklarin-bakim-hakki-kime-aittir/0193c42d-90be-76e6-077f-59c1221fd49e,,,,sha256:4552a2873fd8ea51c289c891d6c1bef43db5c6e29f15816415715f2332a05b9d
diyk_qa_0193c42d-90d4-745f-9d40-5a8e0f2627e7_dd349dc9af,qa,Boşanmadan sonra çocukların nafakası kime aittir?,Boşanmadan sonra çocukların nafakası kime aittir?,AİLE HAYATI > Nafaka ve Tazminat > Boşanmadan sonra çocukların nafakası kime aittir?,https://kurul.diyanet.gov.tr/soru/bosanmadan-sonra-cocuklarin-nafakasi-kime-aittir/0193c42d-90d4-745f-9d40-5a8e0f2627e7,,,,sha256:7d2c5c0c36678493d1e77a046f99146265ed7606ab056986999fdfb6d37deba9
diyk_qa_0193c42d-90ed-7d37-8ddd-35c48e823142_a18fa19920,qa,Bir erkek evli olmayan kız kardeşine bakmakla yükümlü müdür?,Bir erkek evli olmayan kız kardeşine bakmakla yükümlü müdür?,AİLE HAYATI > Nafaka ve Tazminat > Bir erkek evli olmayan kız kardeşine bakmakla yükümlü müdür?,https://kurul.diyanet.gov.tr/soru/bir-erkek-evli-olmayan-kiz-kardesine-bakmakla-yukumlu-mudur/0193c42d-90ed-7d37-8ddd-35c48e823142,,,,sha256:247d91f0bec69f138ac34b768058c1f6a2e5dca44b0c2d2195fc00f43e15a171
diyk_qa_0193c42d-9101-7441-cbaa-094446c0d593_36a05e92a0,qa,Koruyucu aile olmanın hükmü nedir?,Koruyucu aile olmanın hükmü nedir?,AİLE HAYATI > Evlat Edinme ve Koruyucu Aile > Koruyucu aile olmanın hükmü nedir?,https://kurul.diyanet.gov.tr/soru/koruyucu-aile-olmanin-hukmu-nedir/0193c42d-9101-7441-cbaa-094446c0d593,,,,sha256:8483622141b201ff011326ad15a0969f6af0fe86c80b05bcfed72a9ae499ad6f
diyk_qa_0193c42d-9119-773b-fd1d-1af5251abefc_47e19c4ec9,qa,Koruyucu aile kapsamında himayeye alınan çocuklar için devletin ödediği paranın alınmasında dinen bir sakınca var mıdır?,Koruyucu aile kapsamında himayeye alınan çocuklar için devletin ödediği paranın alınmasında dinen bir sakınca var mıdır?,AİLE HAYATI > Evlat Edinme ve Koruyucu Aile > Koruyucu aile kapsamında himayeye alınan çocuklar için devletin ödediği paranın alınmasında dinen bir sakınca var mıdır?,https://kurul.diyanet.gov.tr/soru/koruyucu-aile-kapsaminda-himayeye-alinan-cocuklar-icin-devletin-odedigi-paranin-alinmasinda-dinen-bir-sakinca-var-midir/0193c42d-9119-773b-fd1d-1af5251abefc,,,,sha256:688f98f19504f6d2e7fd625a3a29cce15fa4bd5df5921ba78db0b14ad9a2df9f
diyk_qa_0193c42d-9131-74da-5108-e57d37a00a93_1e07f83a6f,qa,Vasiyet ve hükmü nedir?,Vasiyet ve hükmü nedir?,MİRAS ve VASİYET > Vasiyet > Vasiyet ve hükmü nedir?,https://kurul.diyanet.gov.tr/soru/vasiyet-ve-hukmu-nedir/0193c42d-9131-74da-5108-e57d37a00a93,,,,sha256:f8e4ad9cd2f24b20cf45d90ec4b8b57886f19f5891fd2fc8f9b0979bbe6c3ee2
diyk_qa_0193c42d-9174-7808-9ea0-a24e28569fb8_6e61a6c7e5,qa,"Çocukları olan bir kişi, malını torunlarına vasiyet edebilir mi?","Çocukları olan bir kişi, malını torunlarına vasiyet edebilir mi?","MİRAS ve VASİYET > Vasiyet > Çocukları olan bir kişi, malını torunlarına vasiyet edebilir mi?",https://kurul.diyanet.gov.tr/soru/cocuklari-olan-bir-kisi-malini-torunlarina-vasiyet-edebilir-mi/0193c42d-9174-7808-9ea0-a24e28569fb8,,,,sha256:950895167c113b1f428d5f1b2a54e62ec029125aa9f03b2455617ae08154e0bf
diyk_qa_0193c42d-9188-731b-dd45-33d47a0e6e1a_fd89996705,qa,Akrabalık ilişkilerini kesecek bir vasiyet uygulanabilir mi?,Akrabalık ilişkilerini kesecek bir vasiyet uygulanabilir mi?,MİRAS ve VASİYET > Vasiyet > Akrabalık ilişkilerini kesecek bir vasiyet uygulanabilir mi?,https://kurul.diyanet.gov.tr/soru/akrabalik-iliskilerini-kesecek-bir-vasiyet-uygulanabilir-mi/0193c42d-9188-731b-dd45-33d47a0e6e1a,,,,sha256:76edad9c67a69ac54c5edb5341c5cec77cfec12f4f205b5f2d9676fc66310066
diyk_qa_0193c42d-919f-7000-1d2a-bfbe6041d213_16d28a1b2f,qa,Eşinin kabrine defnedilmeyi vasiyet eden kişinin bu vasiyetini yerine getirmek gerekir mi?,Eşinin kabrine defnedilmeyi vasiyet eden kişinin bu vasiyetini yerine getirmek gerekir mi?,MİRAS ve VASİYET > Vasiyet > Eşinin kabrine defnedilmeyi vasiyet eden kişinin bu vasiyetini yerine getirmek gerekir mi?,https://kurul.diyanet.gov.tr/soru/esinin-kabrine-defnedilmeyi-vasiyet-eden-kisinin-bu-vasiyetini-yerine-getirmek-gerekir-mi/0193c42d-919f-7000-1d2a-bfbe6041d213,,,,sha256:e59ffd47f02f14559b44114eca736d51f89517980f606b8e25ffa70d98907616
diyk_qa_0193c42d-91b7-73cd-b17c-a758a11c9119_7bcba78a44,qa,Ruhuna hatim okunması için vasiyette bulunan bir kimsenin vasiyetini yerine getirmek zorunlu mudur?,Ruhuna hatim okunması için vasiyette bulunan bir kimsenin vasiyetini yerine getirmek zorunlu mudur?,MİRAS ve VASİYET > Vasiyet > Ruhuna hatim okunması için vasiyette bulunan bir kimsenin vasiyetini yerine getirmek zorunlu mudur?,https://kurul.diyanet.gov.tr/soru/ruhuna-hatim-okunmasi-icin-vasiyette-bulunan-bir-kimsenin-vasiyetini-yerine-getirmek-zorunlu-mudur/0193c42d-91b7-73cd-b17c-a758a11c9119,,,,sha256:fab52a8eb4b1d15b0d9f25151588ffa74d1f74875d9f8b90b5105865f87ba0aa
diyk_qa_0193c42d-91cb-7116-7abf-d57e6c55bbef_36cad6c655,qa,"Bir kimse, yerine haccedilmesini vasiyet ederse ne yapılır?","Bir kimse, yerine haccedilmesini vasiyet ederse ne yapılır?","MİRAS ve VASİYET > Vasiyet > Bir kimse, yerine haccedilmesini vasiyet ederse ne yapılır?",https://kurul.diyanet.gov.tr/soru/bir-kimse-yerine-haccedilmesini-vasiyet-ederse-ne-yapilir/0193c42d-91cb-7116-7abf-d57e6c55bbef,,,,sha256:652208084c5efed0837f6f1013af683a4f8ce472ecbf10bd2768cf45ae704139
diyk_qa_0193c42d-91e0-7008-7e8a-90fa99b2ae4d_f48c794e07,qa,Belli bir hayra harcanmak üzere vasiyet edilen paranın/malın başka bir yere kullanılması caiz midir?,Belli bir hayra harcanmak üzere vasiyet edilen paranın/malın başka bir yere kullanılması caiz midir?,MİRAS ve VASİYET > Vasiyet > Belli bir hayra harcanmak üzere vasiyet edilen paranın/malın başka bir yere kullanılması caiz midir?,https://kurul.diyanet.gov.tr/soru/belli-bir-hayra-harcanmak-uzere-vasiyet-edilen-paraninmalin-baska-bir-yere-kullanilmasi-caiz-midir/0193c42d-91e0-7008-7e8a-90fa99b2ae4d,,,,sha256:7a1217907996ccb265f76114e0d002890c3473327719d3b433527f9a13e0877f
diyk_qa_0193c42d-920d-7152-73ff-870fb8f397fb_6ca3882a2b,qa,"Kişi, bakımını üstlendiği (evlat edindiği) çocuğa bütün malını bağışlayabilir mi?","Kişi, bakımını üstlendiği (evlat edindiği) çocuğa bütün malını bağışlayabilir mi?","MİRAS ve VASİYET > Vasiyet > Kişi, bakımını üstlendiği (evlat edindiği) çocuğa bütün malını bağışlayabilir mi?",https://kurul.diyanet.gov.tr/soru/kisi-bakimini-ustlendigi-evlat-edindigi-cocuga-butun-malini-bagislayabilir-mi/0193c42d-920d-7152-73ff-870fb8f397fb,,,,sha256:8ab8f9b99728b5784955dd54bf06df255c0a6f7f7bdc4cf580ba1e07076adcdc
diyk_qa_0193c42d-922b-7038-50c6-7d49e17a1ddf_9313c97d90,qa,Kişinin mallarını tümüyle vakfetmesi caiz midir?,Kişinin mallarını tümüyle vakfetmesi caiz midir?,VAKIF > Vakıf Malında Tasarruf > Kişinin mallarını tümüyle vakfetmesi caiz midir?,https://kurul.diyanet.gov.tr/soru/kisinin-mallarini-tumuyle-vakfetmesi-caiz-midir/0193c42d-922b-7038-50c6-7d49e17a1ddf,,,,sha256:29c21c220c9beb554db3ffaade0558899f0f5bbe4be97392e4776b753064a17a
diyk_qa_0193c42d-9246-71d3-eba7-19305a838415_cd719d10a8,qa,Kişinin malı üzerindeki tasarruflarına ailesinin karışma hakkı var mıdır?,Kişinin malı üzerindeki tasarruflarına ailesinin karışma hakkı var mıdır?,MİRAS ve VASİYET > Vasiyet > Kişinin malı üzerindeki tasarruflarına ailesinin karışma hakkı var mıdır?,https://kurul.diyanet.gov.tr/soru/kisinin-mali-uzerindeki-tasarruflarina-ailesinin-karisma-hakki-var-midir/0193c42d-9246-71d3-eba7-19305a838415,,,,sha256:e189545e309da1ad7c5330d0568c4120a1dfc161a347bfaae31f0565edff1c9b
diyk_qa_0193c42d-925b-74d7-6e5a-f1fa88e63901_418a7931e3,qa,"Bir kimse hayatta iken mülkünü bir hayır kurumuna bağışlasa, ölümünden sonra çocukları bu bağışı iptal ettirebilirler mi?","Bir kimse hayatta iken mülkünü bir hayır kurumuna bağışlasa, ölümünden sonra çocukları bu bağışı iptal ettirebilirler mi?","VAKIF > Vakıf Malında Tasarruf > Bir kimse hayatta iken mülkünü bir hayır kurumuna bağışlasa, ölümünden sonra çocukları bu bağışı iptal ettirebilirler mi?",https://kurul.diyanet.gov.tr/soru/bir-kimse-hayatta-iken-mulkunu-bir-hayir-kurumuna-bagislasa-olumunden-sonra-cocuklari-bu-bagisi-iptal-ettirebilirler-mi/0193c42d-925b-74d7-6e5a-f1fa88e63901,,,,sha256:14429e54aa66e668ab65bd678460265f95d491391c1eaf3f9985ccc270f13852
diyk_qa_0193c42d-926c-7d77-7d05-02291535409f_e94b1b37a0,qa,İslam miras hükümlerine uymamanın sorumluluğu var mıdır?,İslam miras hükümlerine uymamanın sorumluluğu var mıdır?,MİRAS ve VASİYET > Miras > İslam miras hükümlerine uymamanın sorumluluğu var mıdır?,https://kurul.diyanet.gov.tr/soru/islam-miras-hukumlerine-uymamanin-sorumlulugu-var-midir/0193c42d-926c-7d77-7d05-02291535409f,,,,sha256:5e2534f275270d91f2dab4c2d25ae87d4dcc9b1bf05cb454853f5012049fd231
diyk_qa_0193c42d-9286-74a2-0d48-810bd7667337_44457ce951,qa,Mirası paylaşmayı geciktirmek sakıncalı mıdır?,Mirası paylaşmayı geciktirmek sakıncalı mıdır?,MİRAS ve VASİYET > Miras > Mirası paylaşmayı geciktirmek sakıncalı mıdır?,https://kurul.diyanet.gov.tr/soru/mirasi-paylasmayi-geciktirmek-sakincali-midir/0193c42d-9286-74a2-0d48-810bd7667337,,,,sha256:7d8da448f8d0fb6ad460a34c288279b411845879d74771c69f0d0871287285b7
diyk_qa_0193c42d-92a3-78e7-1aa7-1caadf66109b_838d525f98,qa,Ölen kimsenin anne-babasının mirastaki payı nedir?,Ölen kimsenin anne-babasının mirastaki payı nedir?,MİRAS ve VASİYET > Miras > Ölen kimsenin anne-babasının mirastaki payı nedir?,https://kurul.diyanet.gov.tr/soru/olen-kimsenin-anne-babasinin-mirastaki-payi-nedir/0193c42d-92a3-78e7-1aa7-1caadf66109b,,,,sha256:3a3b8935c5e8e15dc2216ab1ce475b6a23fa33c274896dffb6b0abd02254fa0a
diyk_qa_0193c42d-92b8-726d-d76c-ba9e81caff10_8494720342,qa,Kadının mirastaki durumu nedir?,Kadının mirastaki durumu nedir?,MİRAS ve VASİYET > Miras > Kadının mirastaki durumu nedir?,https://kurul.diyanet.gov.tr/soru/kadinin-mirastaki-durumu-nedir/0193c42d-92b8-726d-d76c-ba9e81caff10,,,,sha256:c9be5f256b73ae444cfb9174cb9e2a3c0184a05943112932acc76d633b74273a
